"Hora inicio","Hora fin","Título","Fecha inicio","Fecha fin","Canal"
"05:30:00","08:00:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-21","2012-09-21","PP8T",
"08:00:00","10:45:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-21","2012-09-21","PP8T",
"10:45:00","13:45:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-21","2012-09-21","PP8T",
"13:45:00","16:15:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-21","2012-09-21","PP8T",
"16:15:00","19:00:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-21","2012-09-21","PP8T",
"19:00:00","21:30:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-21","2012-09-21","PP8T",
"21:30:00","00:15:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-21","2012-09-22","PP8T",
"00:15:00","02:45:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-22","2012-09-22","PP8T",
"02:45:00","05:30:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-22","2012-09-22","PP8T",
"05:30:00","08:00:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-22","2012-09-22","PP8T",
"08:00:00","10:45:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-22","2012-09-22","PP8T",
"10:45:00","13:45:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-22","2012-09-22","PP8T",
"13:45:00","16:15:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-22","2012-09-22","PP8T",
"16:15:00","19:00:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-22","2012-09-22","PP8T",
"19:00:00","21:30:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-22","2012-09-22","PP8T",
"21:30:00","00:15:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-22","2012-09-23","PP8T",
"00:15:00","02:45:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-23","2012-09-23","PP8T",
"02:45:00","05:30:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-23","2012-09-23","PP8T",
"05:30:00","08:00:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-23","2012-09-23","PP8T",
"08:00:00","10:45:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-23","2012-09-23","PP8T",
"10:45:00","13:45:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-23","2012-09-23","PP8T",
"13:45:00","16:15:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-23","2012-09-23","PP8T",
"16:15:00","19:00:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-23","2012-09-23","PP8T",
"19:00:00","21:30:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-23","2012-09-23","PP8T",
"21:30:00","00:15:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-23","2012-09-24","PP8T",
"00:15:00","02:45:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-24","2012-09-24","PP8T",
"02:45:00","05:30:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-24","2012-09-24","PP8T",
"05:30:00","08:00:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-24","2012-09-24","PP8T",
"08:00:00","10:45:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-24","2012-09-24","PP8T",
"10:45:00","13:45:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-24","2012-09-24","PP8T",
"13:45:00","15:15:00","Mañana Nunca Más - Subtitulada","2012-09-24","2012-09-24","PP8T",
"15:15:00","16:45:00","Mañana Nunca Más - Subtitulada","2012-09-24","2012-09-24","PP8T",
"16:45:00","18:15:00","Mañana Nunca Más - Subtitulada","2012-09-24","2012-09-24","PP8T",
"18:15:00","19:45:00","Mañana Nunca Más - Subtitulada","2012-09-24","2012-09-24","PP8T",
"19:45:00","21:15:00","Mañana Nunca Más - Subtitulada","2012-09-24","2012-09-24","PP8T",
"21:15:00","22:45:00","Mañana Nunca Más - Subtitulada","2012-09-24","2012-09-24","PP8T",
"22:45:00","00:15:00","Mañana Nunca Más - Subtitulada","2012-09-24","2012-09-25","PP8T",
"00:15:00","01:45:00","Mañana Nunca Más - Subtitulada","2012-09-25","2012-09-25","PP8T",
"01:45:00","03:15:00","Mañana Nunca Más - Subtitulada","2012-09-25","2012-09-25","PP8T",
"03:15:00","04:45:00","Mañana Nunca Más - Subtitulada","2012-09-25","2012-09-25","PP8T",
"04:45:00","06:15:00","Mañana Nunca Más - Subtitulada","2012-09-25","2012-09-25","PP8T",
"06:15:00","07:45:00","Mañana Nunca Más - Subtitulada","2012-09-25","2012-09-25","PP8T",
"07:45:00","09:15:00","Mañana Nunca Más - Subtitulada","2012-09-25","2012-09-25","PP8T",
"09:15:00","10:45:00","Mañana Nunca Más - Subtitulada","2012-09-25","2012-09-25","PP8T",
"10:45:00","12:15:00","Mañana Nunca Más - Subtitulada","2012-09-25","2012-09-25","PP8T",
"12:15:00","13:45:00","Mañana Nunca Más - Subtitulada","2012-09-25","2012-09-25","PP8T",
"13:45:00","16:15:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-25","2012-09-25","PP8T",
"16:15:00","19:00:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-25","2012-09-25","PP8T",
"19:00:00","21:30:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-25","2012-09-25","PP8T",
"21:30:00","00:15:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-25","2012-09-26","PP8T",
"00:15:00","02:45:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-26","2012-09-26","PP8T",
"02:45:00","05:30:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-26","2012-09-26","PP8T",
"05:30:00","08:00:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-26","2012-09-26","PP8T",
"08:00:00","10:45:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-26","2012-09-26","PP8T",
"10:45:00","13:45:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-26","2012-09-26","PP8T",
"13:45:00","16:15:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-26","2012-09-26","PP8T",
"16:15:00","19:00:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-26","2012-09-26","PP8T",
"19:00:00","21:30:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-26","2012-09-26","PP8T",
"21:30:00","00:15:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-26","2012-09-27","PP8T",
"00:15:00","02:45:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-27","2012-09-27","PP8T",
"02:45:00","05:30:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-27","2012-09-27","PP8T",
"05:30:00","08:00:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-27","2012-09-27","PP8T",
"08:00:00","10:45:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-27","2012-09-27","PP8T",
"10:45:00","13:45:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-27","2012-09-27","PP8T",
"13:45:00","16:15:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-27","2012-09-27","PP8T",
"16:15:00","19:00:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-27","2012-09-27","PP8T",
"19:00:00","21:30:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-27","2012-09-27","PP8T",
"21:30:00","00:15:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-27","2012-09-28","PP8T",
"00:15:00","02:45:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-28","2012-09-28","PP8T",
"02:45:00","05:30:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-28","2012-09-28","PP8T",
"05:30:00","08:00:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-28","2012-09-28","PP8T",
"08:00:00","10:45:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-28","2012-09-28","PP8T",
"10:45:00","13:45:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-28","2012-09-28","PP8T",
"13:45:00","16:15:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-28","2012-09-28","PP8T",
"16:15:00","19:00:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-28","2012-09-28","PP8T",
"19:00:00","21:30:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-28","2012-09-28","PP8T",
"21:30:00","00:15:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-28","2012-09-29","PP8T",
"00:15:00","02:45:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-29","2012-09-29","PP8T",
"02:45:00","05:30:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-29","2012-09-29","PP8T",
"05:30:00","08:00:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-29","2012-09-29","PP8T",
"08:00:00","10:45:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-29","2012-09-29","PP8T",
"10:45:00","13:45:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-29","2012-09-29","PP8T",
"13:45:00","16:15:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-29","2012-09-29","PP8T",
"16:15:00","19:00:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-29","2012-09-29","PP8T",
"19:00:00","21:30:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-29","2012-09-29","PP8T",
"21:30:00","00:15:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-29","2012-09-30","PP8T",
"00:15:00","02:45:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-30","2012-09-30","PP8T",
"02:45:00","05:30:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-30","2012-09-30","PP8T",
"05:30:00","08:00:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-30","2012-09-30","PP8T",
"08:00:00","10:45:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-30","2012-09-30","PP8T",
"10:45:00","13:45:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-30","2012-09-30","PP8T",
"13:45:00","16:15:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-30","2012-09-30","PP8T",
"16:15:00","19:00:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-30","2012-09-30","PP8T",
"19:00:00","21:30:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-30","2012-09-30","PP8T",
"21:30:00","00:15:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-09-30","2012-10-01","PP8T",
"00:15:00","02:45:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-10-01","2012-10-01","PP8T",
"02:45:00","05:30:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-10-01","2012-10-01","PP8T",
"05:30:00","08:00:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-10-01","2012-10-01","PP8T",
"08:00:00","10:45:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-10-01","2012-10-01","PP8T",
"10:45:00","13:45:00","John Carter - Entre Dos Mundos - Doblada Al Español","2012-10-01","2012-10-01","PP8T",
"13:45:00","16:15:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-01","2012-10-01","PP8T",
"16:15:00","19:00:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-01","2012-10-01","PP8T",
"19:00:00","21:30:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-01","2012-10-01","PP8T",
"21:30:00","00:15:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-01","2012-10-02","PP8T",
"00:15:00","02:45:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-02","2012-10-02","PP8T",
"02:45:00","05:30:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-02","2012-10-02","PP8T",
"05:30:00","08:00:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-02","2012-10-02","PP8T",
"08:00:00","10:45:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-02","2012-10-02","PP8T",
"10:45:00","13:45:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-02","2012-10-02","PP8T",
"13:45:00","15:15:00","Mañana Nunca Más - Subtitulada","2012-10-02","2012-10-02","PP8T",
"15:15:00","16:45:00","Mañana Nunca Más - Subtitulada","2012-10-02","2012-10-02","PP8T",
"16:45:00","18:15:00","Mañana Nunca Más - Subtitulada","2012-10-02","2012-10-02","PP8T",
"18:15:00","19:45:00","Mañana Nunca Más - Subtitulada","2012-10-02","2012-10-02","PP8T",
