	Saturday 01	Sunday 02	Monday 03	Tuesday 04	Wednes. 05	Thursday 06	Friday  07

06:00 	E! NEWS LIVE	WILD ON 	E! NEWS  WEEKEND	E! NEWS LIVE	E! NEWS LIVE	E! NEWS LIVE	E! NEWS LIVE

07:00 	COMING ATTRACTIONS 	CELEBRITY HOMES	EXTREME CLOSE UP 	EXTREME CLOSE UP 	EXTREME CLOSE UP 	EXTREME CLOSE UP 	EXTREME CLOSE UP 

07:30 	SEARCH PARTY	SEARCH PARTY	BEHIND THE SCENES	BEHIND THE SCENES	BEHIND THE SCENES	BEHIND THE SCENES	BEHIND THE SCENES

08:00 	FASHION EMERGENCY	  FASHION FILE	  FASHION FILE	FASHION FILE	  FASHION FILE	  FASHION FILE	  FASHION FILE

08:30 	FASHION EMERGENCY	MODEL	  FASHION FILE	  FASHION FILE	  FASHION FILE	  FASHION FILE	  FASHION FILE

09:00 	FASHION EMERGENCY	  FASHION FILE	FASHION EMERGENCY	FASHION EMERGENCY	FASHION EMERGENCY	FASHION EMERGENCY	FASHION EMERGENCY

09:30 	FASHION EMERGENCY	MODEL	CELEBRITY HOMES	CELEBRITY HOMES	CELEBRITY HOMES	CELEBRITY HOMES	CELEBRITY HOMES

10:00 	IT´S GOOD TO BE	E!  FASHION WEEK	WILD ON	REVEALED	RANK	E!  SPECIALS	COMING ATTRACTIONS

10:30 	IT´S GOOD TO BE						LO MAS E!

11:00 	E! NEWS LIVE	CELEBRITY HOMES	E! NEWS  WEEKEND	E! NEWS LIVE	E! NEWS LIVE	E! NEWS LIVE	E! NEWS LIVE

11:30 		BEHIND THE SCENES					

12:00 	REVEALED	COMING ATTRACTIONS 	  FASHION FILE	E!  SPECIALS	IT´S GOOD TO BE	THE E! TRUE HOLLYWOOD STORY	RANK

12:30 		EXTREME CLOSE UP 	LO MAS E!		LOVE CHAIN		

13:00 	IN FOCUS	E! NEWS  WEEKEND	RANK	THE E! TRUE HOLLYWOOD STORY	WILD ON		THE E! TRUE HOLLYWOOD STORY

14:00 	COMING ATTRACTIONS 	LO MAS E!	IT´S GOOD TO BE		COMING ATTRACTIONS 	REVEALED	

14:30 	BEHIND THE SCENES	FASHION FILE	LOVE CHAIN		FASHION FILE		

15:00 	RANK	WILD ON	EXTREME CLOSE UP 	EXTREME CLOSE UP 	EXTREME CLOSE UP 	EXTREME CLOSE UP 	EXTREME CLOSE UP 

15:30 			BEHIND THE SCENES	BEHIND THE SCENES	BEHIND THE SCENES	BEHIND THE SCENES	BEHIND THE SCENES

16:00 	E! NEWS LIVE	E!  FASHION WEEK	E! NEWS  WEEKEND	E! NEWS LIVE	E! NEWS LIVE	E! NEWS LIVE	E! NEWS LIVE

17:00 	IT´S GOOD TO BE	REVEALED	E! SPECIALS	RANK	THE E! TRUE HOLLYWOOD STORY	FASHION FILE	WILD ON

17:30 	IT´S GOOD TO BE					COMING ATTRACTIONS	

